,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Huarmey,100,PE,1566743228,88,-10.07,-78.15,3342.5156767999997,2.68
1,Kula,0,RS,1566743228,51,45.61,19.53,4245.540224,4.1
2,Ayan,71,IR,1566743229,32,38.23,44.7,3666.9922937600013,2.32
3,Gimli,100,CA,1566743229,84,50.63,-96.99,3429.4509213440006,2.68
4,Manzhouli,100,CN,1566743229,94,49.6,117.43,3287.41587392,1.25
5,Oriximina,0,BR,1566743229,47,-1.77,-55.87,4371.04533056,2.82
6,Luderitz,0,NA,1566743230,58,-26.65,15.16,4306.762227200002,9.8
7,Hilo,90,US,1566743160,83,19.71,-155.08,3878.208204800001,3.6
8,Zyryanka,0,RU,1566743230,68,65.73,150.89,3226.1938707200006,2.91
9,Yellowknife,75,CA,1566742821,87,62.45,-114.38,3055.3844817920003,3.1
10,Codrington,37,AU,1566742916,87,-28.95,153.24,3388.4321792,3.6
11,Urengoy,100,RU,1566742909,93,65.96,78.37,2969.06145728,6.83
12,Butaritari,68,KI,1566742653,74,3.07,172.79,4199.623721600001,5.19
13,Nadym,100,RU,1566742884,81,65.53,72.51,2883.3506528000003,6.9
14,Yanam,75,IN,1566743231,79,16.73,82.22,4184.3182208,4.1
15,Punta Arenas,20,CL,1566742808,75,-53.16,-70.91,2776.2121472000003,7.7
16,Alofi,100,NU,1566742859,100,-19.06,-169.92,3694.5421952000015,6.2
17,Mataura,100,NZ,1566742807,96,-46.19,168.86,2817.230889344001,1.77
18,Hobart,20,AU,1566742549,70,-42.88,147.33,2898.6561536000004,4.1
19,Marica,75,BR,1566743023,73,-22.92,-42.82,3816.9862016,2.6
20,Tuatapere,100,NZ,1566743232,96,-46.13,167.69,2817.230889344001,9.86
21,Chekhov,0,RU,1566743232,49,55.14,37.45,3701.276615552001,4.0
22,Castro,90,CL,1566742830,93,-42.48,-73.76,2898.6561536000004,2.6
23,Vorobyevka,2,RU,1566743233,60,50.65,40.92,3777.19189952,3.98
24,Faanui,5,PF,1566742837,69,-16.48,-151.75,3954.735708800001,3.48
25,Cayenne,20,GF,1566742813,58,4.94,-52.33,4306.762227200002,4.1
26,Bredasdorp,38,ZA,1566742810,82,-34.53,20.04,3449.654182400001,5.7
27,Khatanga,10,RU,1566742814,90,71.98,102.47,3073.1388627200004,2.75
28,Bilma,4,NE,1566743233,32,18.69,12.92,4542.466939520002,1.56
29,Tuktoyaktuk,75,CA,1566742843,87,69.44,-133.03,2837.4341504000004,5.7
30,Hasaki,75,JP,1566742904,83,35.73,140.83,3878.208204800001,0.5
31,Saint-Philippe,1,CA,1566742809,68,45.36,-73.48,3694.5421952000015,1.5
32,Santa Maria,0,BR,1566743234,41,-16.02,-48.01,4041.670953344001,5.7
33,Kapaa,20,US,1566742743,78,22.08,-159.32,4061.8742144,7.2
34,Sorong,91,ID,1566742927,91,-0.86,131.25,3826.1695020800007,3.67
35,Ushuaia,40,AR,1566742802,65,-54.81,-68.31,2714.990144,2.1
36,Buchanan,75,LR,1566743098,74,5.88,-10.05,4245.540224,3.1
37,Tullahoma,90,US,1566743007,88,35.36,-86.21,3973.714529792,2.6
38,Vao,71,EE,1566743235,63,59.1,26.19,3550.670487680001,1.17
39,Bonthe,96,SL,1566742819,78,7.53,-12.5,4022.0799123200013,6.14
40,Antigonish,1,CA,1566743063,72,45.62,-61.99,3667.604513792001,3.1
